no,칸,문장,판정(positive/negative/neutral),메모
1250,장점,책임감이 강해 맡은 업무를 처리하기 위해 추가근무도 마다하지 않음,,
1251,단점,"충분히 잘 하고 계시지만, 조금 더 직원들에게 정을 주시면 좋을듯 함",,
1252,단점,보완필요점 따윈 없습니다,,
1253,장점,타의 모범이 되는 부장님 이십니다,,
1254,단점,현재보다 좀 더 적극적인 업무추진 필요,,
1255,장점,매사에 솔선수범하고 항상 긍정적인 마인드로 업무를 수행함,,
1256,단점,"업무전가, 업무를 할려고 하지 않음",,
1257,장점,업무지식이 탄탄하여 처리가 확실함,,
1258,장점,매사에 적극적이고 긍정적임,,
1259,장점,동료에 대한 배려가 있음,,
1260,단점,약간 adhd 등이 있는 것 같다,,
1261,단점,부서원간의 의사소통과업무교류,,
1262,단점,부산까지 왕복으로 인한 피로누적 우려,,
1263,장점,맡은 바 업무에 항상 최선을 다하며 업무에 대한 열의가 넘침,,
1264,장점,꾸준한 자기관리 및 자기개발에 힘씀,,
1265,장점,직원간 원활한 교류로 소통능력이 우수함,,
1266,단점,업무개선에 관심이 없습니다,,
1267,단점,자기 주장이 가하여 가끔 부서원과 갈등이 있다,,
1268,단점,비용 절감 및 단호한 결단력,,
1269,단점,"설계 동영상 강의, 질의응답, 직원간의 협업등을 통하여 업무숙지에 조금더 노력해줬음 함",,
1270,단점,전문지식 습득 및 혁신 아이디어,,
1271,단점,회사생활내의 특이사항 없음,,
1272,장점,환경변화를 예측 및 기회로 활용하며 수평적 의사소통과 부드러운 리더십으로 문제해결에 앞장서며 직원들의 자발적 참여를 유도함,,
1273,장점,"해외사업 관련 지식이 많으시고, 업무에 열의를 가지고 업무를 수행하십니다",,
1274,단점,노사관계를 위해 노력함,,
1275,단점,"너무 꼼꼼하여, 융통성이 필요해 보임",,
1276,장점,차분한 성격에 업무에 베테랑이며 잘 알려줌,,
1277,단점,타 부서원들과 원활한 관계유지 등 폭넓은 네트워크 형성이 필요함,,
1278,단점,감정에 너무 치우치지 않고 업무를 대하는 자세가 필요함,,
1279,단점,업무 속도 느림,,
1280,장점,"솔선수범의 리더십과 개방적 의사소통으로 문제해결에 앞장서며, 도전적 목표 설정 및 구성원들의 자발적 참여를 유도하여 성과를 창출함",,
1281,장점,"새로운 도전 의식,명확한 의사 전달",,
1282,장점,"직원들과 소통하며, 즐거운 직장 분위기 조성을 위해 항상 노력하심",,
1283,장점,윤리의식과 전문성과 문제해결능력이 뛰어납니다,,
1284,단점,부서내 업무처리를 위한 협업 및 소통 부족,,
1285,장점,중요한 부분을 잘 캐치해주시며 리더쉽이 뛰어나셔서 팀을 잘 이끌어나가주십니다,,
1286,단점,지속적인 관심 부탁드립니다,,
1287,단점,업무전반의 지식이 높음,,
1288,장점,매사 업무 추진에 공정하고 합리적이시고 미래지향적으로 업무에 임하시고 있음,,
1289,장점,전문성과 실행력이 우수함,,
1290,장점,부하의견을 적극적으로 수렴하여 합리적인 정책방향을 수립하여 업무추진을 과감하게 수행하는 탁월한 리더쉽을 발휘함,,
1291,단점,지사의 안전 책임자로서 많은 책임을 가진 만큼 안전사고에 대한 경각심이 너무 높음,,
1292,장점,업무처리 우선순위가 뛰어납니다,,
1293,단점,"협업,부서간의 소통이 다소 부족함",,
1294,단점,다소 권위적인 부분이 있음,,
1295,장점,수평적 의사소통으로 문제해결을 원활히 진행,,
1296,장점,모든업무에 적극적입니다,,
1297,장점,아주 좋은성격 긍정적인 마인드,,
1298,장점,업무처리 우선순위를 적기에 결정하여 업무추진,,
1299,장점,맡은 바 업무수행에 충실하고 동료간 유대가 좋음,,
1300,장점,업무에 열의가 높고 맡은일에 성실함,,
1301,장점,특별한 기재 사항이 없습니다,,
1302,장점,본인보다 남을 위하는 성격으로 항상 솔선수범하여 모든 이들에게 귀감이됨,,
1303,단점,업무에 대한 전문적인 지식능력 향상,,
1304,장점,매사에 근면성실하십니다,,
1305,단점,상황에 따라 원활히 대처가 어렵고 협조가 어렵습니다,,
1306,장점,"타 직원들의 의견조율, 의사소통 능력이 뛰어나며, 직접 일하고자하는 의지가 강함",,
1307,장점,자신이 맡은 업무에 최선을 다함,,
1308,장점,배울점이 많은 선배님이십니다,,
1309,단점,업무에 대한 열정이 조금더 필요함,,
1310,장점,타인에 대한 배려와 일처리에 능함,,
1311,장점,현장경험이 풍부하여 업무에 막힘없이 일함,,
1312,장점,항상 기준서를 숙지하려고 노력함,,
1313,단점,남다른 소통능력 및 업무에 대한 이해력을 갖추고 있음,,
1314,장점,"누구보다 근면성실한 업무태도로 임하시며, 언제나 보이지 않는 곳에서 노력을 하고 계십니다",,
1315,장점,"매사에 열정적이며, 적극적이다",,
1316,단점,특별히 보완 필요 부분 없음,,
1317,단점,타 부서원들과의 관계 및 교류 필요,,
1318,단점,주위 동료과의 관계에서 자기 주장이 강함,,
1319,장점,업무에 대한 지식으로 문제해결에 도움,,
1320,장점,업무처리 우선 순위 및 상,,
1321,단점,조금여유있는 대인관계가 되었으면 하는바램,,
1322,장점,열의를 가지고 배우려는 자세로 업무에 임함,,
1323,장점,성실하고 꼼꼼하며 맡은 업무에 책임감과 전문성을 가지고 있음,,
1324,장점,"신속하고, 적극적인 업무처리 및 업무지시",,
1325,장점,우수한 개발능력과 아이디어로 신기술 성과를 낸다,,
1326,장점,안전 중심의 경영,,
1327,단점,구시대적인 사고방식을 가지고있음,,
1328,장점,원할한 소통을 바탕으로 역량을 결집하여 성과를 창출하는 뛰어난 리더,,
1329,장점,"매끄러운 민원업무 처리, 전문성 높음",,
1330,장점,매사에 적극적이고 능동적으로 업무에 임함,,
1331,장점,다정다감하며 책임감이 강하고 부서원들을 수평적으로 대해주셔서 분위기 좋게 잘 이끌어 주심,,
1332,단점,배전운영부 차장으로서의 업무는 보지 않고 다른 행사만을 중요시 여겨서 직원들에게 많은 불편함을 줌,,
1333,단점,좀더 자신감을 갖고 일하시길,,
1334,단점,업무에 대한 열의가 다소 부족하다,,
1335,장점,뛰어난 소통능력과 적극적 업무자세,,
1336,단점,다소 까칠한 성격임,,
1337,장점,인사성이 밝은 직원이다,,
1338,장점,열심히 하며 팀내 분위기를 좋게함,,
1339,장점,매사 업무에 성과지향적이고 열의가 탁월함,,
1340,장점,정직하고 성실하며 회사일에 노력한다,,
1341,장점,업무에 대해 열정적이며 관심이 많습니다,,
1342,장점,자신의 업무분야에서 풍부한 지식을 가짐,,
1343,장점,풍부한 업무경험 바탕으로 한 업무처리,,
1344,단점,새롭고 창의적인 도전의식이 아쉬움,,
1345,단점,아무생각이 없이 일을 하는거 같음,,
1346,단점,상하직원간 원활한 교류 및 소통,,
1347,단점,직원들에 대해 적정한 배려와 동기부여가 필요함,,
1348,단점,단점을 찾기 어려운 것이 단점임,,
1349,장점,수평적 업무 지시와 부드러운 이미지로 분위기 주도함,,
1350,장점,"동료들과 협력하며, 도움을 줍니다",,
1351,단점,자기 중심적 사고 및 배려가 부족함,,
1352,장점,업무를 열심히 배우고 집중하여 성과를 냄,,
1353,장점,업무능력이 뛰어나시며 솔선수범하려고 하십니다,,
1354,장점,송변전건설 업무에 열정과 지식을 활용하여 공정하고 합리적이고 미래지향적으로 업무를 추진하고 있음,,
1355,장점,현장 경험 풍부 해당 분야 오랜 경험,,
1356,단점,적극적인 협업능력 필요,,
1357,단점,현재 가진 장점을 더욱 개발하면 좋겠음,,
1358,단점,"업무책임회피, 이기적, 불협, 부정적, 인성부족",,
1359,단점,자신의 맡은바 업무에 최선을 다함,,
1360,장점,적극적으로 직원들과 소통하고 긍정적 마인드,,
1361,장점,오랜 업무 경험으로 인해 모든 업무를 신속하고 정확하게 처리하십니다,,
1362,장점,부서 직원들을 위핸 솔선수범하여 업무를 수행,,
1363,장점,고객민원을 해결하는데 탁월하며 전문성과 뛰어난 협업능력을 가지고 있습니다,,
1364,장점,수평적 의사소통과 열정적인 업무,,
1365,장점,"수평적 의사소통과 부드러운 리더십, 통찰력으로 문제를 해결하며 구성원들의 자발적 참여를 유도함",,
1366,단점,"동료간 소통이 부족, 기회주의자로 조직과 회사 발전을 위해 상당한 노력이 요구됨",,
1367,단점,업무의 협업능력이 약간 부족함,,
1368,장점,업무적으로 항상 뛰어난 모습을 보임,,
1369,장점,소통능력 및 협업능력이 탁월함,,
1370,장점,부드러운 리더십으로 조직 통솔능력이 탁월하고,,
1371,장점,부하직원과의 협업능력도 뛰어남,,
1372,장점,"성과기여도, 협업능력, 업무열의",,
1373,장점,구성원간의 자발적인 참여 유도,,
1374,장점,뛰어난 업무 전문성으로 직원들의 업무효율향상 기여,,
1375,단점,주변 동료들과 어을리지 못 함,,
1376,장점,뛰어난 공감능력과 업무에 대한 열정이 크며 문제를 정확히 인지하고 합리적 판단함,,
1377,장점,또한 저연차 직원들의 멘토역할을 담당하시어 조직내 활력 및 업무능력 향상에 기여하심,,
1378,단점,행사참여와 소통력 향상 필요,,
1379,단점,업무처리에 시간이 다소 소모된다,,
1380,장점,동료 직원과 부하직원과 소통능력이 뛰어남,,
1381,장점,배전선로 현장확인 적극 수행,,
1382,장점,"친절한 응대, 업무 전문성 높음",,
1383,장점,열정적인 자세로 업무에 임하여 추진력이 뛰어납니다,,
1384,장점,어떤업무라도 적극적인자세로 임함,,
1385,장점,솔선수범으로 모범을 보임,,
1386,단점,장점도 단점도 없습니다,,
1387,장점,"동료들과 원만한 관계를 이루며, 업무에 최선을 다 함",,
1388,단점,현장업무에 대한 능력이 부족함,,
1389,장점,"본인의 분야에 전문성을 위해 항상 노력하며, 동료애를 가지고 선후배와 친밀하게 지냅니다",,
1390,단점,주변동료들과   화합 친목  스킬 우수,,
1391,단점,보완이 필요한 점은 없는 것 같음,,
1392,단점,카리스라 한스푼 추가,,
1393,단점,주어진 일에 대한 추진력이 다소 미흡,,
1394,단점,회사와 동료을 위해 너무 희생한다,,
1395,장점,높은 열의로 성실하게 업무 수행,,
1396,장점,어떠한 문제가 있다하면 다양한 문제 해결방법을 구사하십니다,,
1397,단점,상대방을 너무 과대평가 하므로 보완이 필요함,,
1398,단점,딱히 생각나는거 없음,,
1399,단점,전문성이 낮아 문제 해결능력이 부족함,,
1400,단점,적기에 필요한 업무 완수와 책임감이 필요하다,,
1401,단점,활달한 성품으로 모든 활동에 적극적임,,
1402,장점,"모든업무에 열정적이며, 노력을 많이함",,
1403,단점,"협업능력이 부족하고, 자신의 일을 타인에게 미루며, 갈등상황에서 감정조절을 못하는 경우가 있음,",,
1404,장점,부서의 직원들을 언제나 잘 챙겨 주신다,,
1405,단점,너무 세세한 부분까지 업무파악,,
1406,장점,본인 업무에 대해 이론과 원리를 체계적으로 설명할 수 있을 정도의 전문적인 지식과 기술을 가지고 있다,,
1407,장점,"모든일을 꼼곰히 잘 정리하며, 배우려는 열의가 있음",,
1408,단점,의사결정시 좀더 다방면 검토요,,
1409,단점,업무 추진 및 결정에 있어 신속,,
1410,장점,업무 열의와 전문성을 보유하고 있음,,
1411,단점,전력 및 계획 변경을 통한 구체적 변화 창조,,
1412,단점,타인에 대한 관심과 배려 필요,,
1413,단점,이해관계가 얽혀있는 사안에 대해 태도가 갑자기 바뀌는 느낌을 받았습니다,,
1414,장점,"업무에 대한 열정, 이해심이 뛰어나고, 직무에 대한 책임감이 높으며 전문성을 갖추고 있음",,
1415,단점,보완필요점에 대해서는 '없음' 의견임,,
1416,단점,세세하게 지시 감독하는 성향이 있는편임,,
1417,장점,"담당업무에 대한 책임감, 문제해결 대책 아이디어",,
1418,장점,항상 맡은 일을 열심히 함,,
1419,장점,본인이 맡은 업무처리가 빠름,,
1420,장점,추진력과 함께 많은사례들을 인지시켜 업무에 도움을 주려함,,
1421,장점,업무 연관이 없어서 잘모름,,
1422,단점,원만한 의사소통 및 적극적인 업무 태도,,
1423,단점,협업능력이 상대적으로 보완해야 함,,
1424,장점,배려심이 깊고 열정적으로 업무에 임함,,
1425,장점,지중분야 전문가 초등학생도 알 수 있는 인수인계,,
1426,장점,정확한 설명을 토대로 업무처리를 지시하여 업무수행이 용이함,,
1427,단점,보완할 사항 없습니다,,
1428,단점,지나치게 세심한 성격이 있어서 다소 버거운 면이 있음,,
1429,장점,전문직인 지식과 업무열의를 가지고 있음,,
1430,장점,직원들과의 관계 조화,,
1431,장점,매사에 공평하고 청렴함,,
1432,장점,"끈기와 집념으로 목표달성하고자 하는 노력을 많이 하며, 업무 몰입도가 높음",,
1433,장점,업무 처리가 매우 우수함,,
1434,장점,업무 처리속도가 빠르고 전문성이 있음,,
1435,단점,업무수행과 관련하여 보완 필요점 없음,,
1436,장점,원활한 의사소통을 통하여 구성원들과의 협업을 통해 업무를 적극적으로 해결함,,
1437,장점,직원들과의 적극적인 의사소통을 통해 부드러운 리더십으로 부서를 이끌어감,,
1438,장점,항상 행정처리를 빠르게 하며 솔선수범 합니다,,
1439,장점,업무를 예상하여 적극적 대처,,
1440,단점,다른 직원들과 자주 만나서 얘기할 수 있는 기회가 있으면 좋겠습니다,,
1441,장점,도전적목표설정이 뛰어남,,
1442,장점,자발적으로 업무에 참여함,,
1443,단점,성과기여 부분에 대한 참여는 다소 부족,,
1444,단점,변전설비에 대한 깊이 있는 이해가 필요합니다,,
1445,장점,솔전수범으로 조직목표를 달성할 수 있도록 구성원들의 성과를 도출하게 리더하고 풍부한 관련 지식과 경험을 바탕으로 업무가 완성될 수 있도록 적극노력함,,
1446,단점,직원들간의 사소한 대화를 통한 분위기 쇄신이 부족,,
1447,단점,업무의 지식을 넓혔으면 좋겠음,,
1448,단점,"담당업무가 아님에도, 지속적인 질의를 함",,
1449,장점,매사에 열심히 생활하십니다,,
1450,단점,자신의 업무에 집중하다보니 주변과의 소통이 필요함,,
1451,단점,팀원들과의 상호작용 필요함,,
1452,장점,혁신주도 업무전문성,,
1453,장점,강경민원에 대한 응대를 잘함,,
1454,단점,보완하실것은 없고 회의를 짧게 할 필요성 있음,,
1455,단점,고치거나 보완해야 할 부분은 크게 없습니다,,
1456,장점,"최신 지식,정보를 꾸준히 노력함",,
1457,장점,업무의 열의가 넘침,,
1458,장점,업무을 충실히 잘 합니다,,
1459,장점,투철한 사명감과 탁월한 업무능력으로 타의 모범이 됨,,
1460,단점,매끄러운 민원업무 처리능력을 보유하고 있습니다,,
1461,단점,적기 업무진행으로 보완필요점이 없습니다,,
1462,장점,업무에 대한 열의와 추진력이 뛰어남,,
1463,장점,"매사 성실하며, 업무에 적극적인 태도입니다",,
1464,장점,부드러운 리더십이 장점임,,
1465,장점,맡은 바 업무를 성실히 이행하고 협업능력이 좋음,,
1466,장점,업무와 관련해 끊임없이 학습하며 매사에 적극적임,,
1467,장점,책임감이 투철하고 전문성이 높습니다,,
1468,단점,업무에 대한 지식 및 경험 부족,,
1469,장점,업무 열의와 윤리의식이 높음,,
1470,단점,없음 없음 없음 없음,,
1471,장점,"조직 구성원간 화합이 잘되며, 맡은 바 임무에 충실함",,
1472,장점,최신 지식 정보를 꾸준히 학습하여 업무해결방안이 뛰어남,,
1473,장점,스스로 배우고 해결하려는 의지가 있음,,
1474,장점,업무수행 전문성이 높고 조직원과 잘 화합함,,
1475,장점,적극적인 리더십으로 후배들을 이끔,,
1476,단점,적극적이고 업무적 능력이 뛰어남,,
1477,단점,조용하지만 그래도 잘하고 있고 선배들과 좀 더 잘 어울리면 좋을듯해요,,
1478,장점,"동료애가 있어 주변을 잘챙기며, 업무에 전문성을 가지고 열의가 있다",,
1479,장점,맡은 바 업무에 최선을 다하며 직원간 관계가 좋음,,
1480,장점,소통이 뛰어나며 본인 업무에 대해 열정 및 신속함,,
1481,단점,"자기만의 일정으로 업무에 피해줌 업무에 대한 무관심,무책임함",,
1482,단점,"업무수행능력이 떨어지며, 본인의 업무를 타 직원에게 자주 넘기며, 자기중심적인 사고를 가지고 있음",,
1483,단점,특별하게 보이는 보완필요점이 없음,,
1484,장점,뛰어난 업무능력으로 팀의 핵심이 됨,,
1485,단점,본인 업무부터 적확하게 처리해야함,,
1486,장점,항상 탐구하고 업무에 대한 열정이 높고 사업소 성과 달성을 위해 노력,,
1487,단점,가끔 다소 의욕이 과한 면이 있음,,
1488,장점,수평적 의사소통과 직원들과 잘화합함,,
1489,단점,타분야와 협업 업무확대,,
1490,장점,업무열의와 전문성을 가지고 성과창출에 기여하려는 자세,,
1491,장점,청렴결백하고 사적으로 부당한 이익을 취하지 않고 공정한 업무 처리,,
1492,단점,매사에 꼼꼼하게 처리하여 만전을 기한다,,
1493,단점,부서원과의 소통미흡,,
1494,장점,조직원과의 융화가 잘 되며 맡은바 업무에 최선을 다함,,
1495,장점,업무수행에 적극적이며 업무지시사항에 성실히 이행함,,
1496,장점,매사에 신중하고 업무에 탁월하다,,
1497,장점,업무 관련 자료 수집 우수,,
1498,단점,참모진 의견을 안받아들이는 경향이 있음,,
1499,단점,없어요~~~~~~~~~~~~~~~~~~~,,
1500,장점,밝은 성격 / 유창한 발표 능력,,
1501,장점,특히 어려운 일들이 있을경우 팀원들을 도와주는 협업능력이 우수,,
1502,장점,"부드러운 카리스마, 민원인의 이해를 통한 완벽한 업무수행",,
1503,단점,"법인카드 사용, 직원과의 갈등, 타부서와 갈등, 음주",,
1504,단점,사람이 너무 좋은게 탈,,
1505,장점,"수평적 업무지시, 분위기 주도",,
1506,장점,업무의 중요성 판단 능력이 뛰어남,,
1507,장점,안전업무를 열심히 합니다,,
1508,단점,본인의 업무외 궂은일에도 모범을 보이는 자세가 조금 부족함,,
1509,단점,계산하는 사고를 강화 해야함 사원의 부서 배치등 기타 업무 처리시 등,,
1510,단점,자기주장 강하고 말을 하지 않음,,
1511,장점,뛰어난 전문성과 성과기여도를 지니고 있으며 투철한 윤리의식 보유,,
1512,장점,디자인 능력이 뛰어남,,
1513,장점,업무 처리에 매우 성실함,,
1514,장점,불필요한 언변을 자제하여 정확한 정보만을 전달하고 공과 사 구분이 철저함,,
1515,장점,"직원들과의 의사소통능력이 뛰어남, 업무에 대한 열의가 높음",,
1516,장점,전문성을 바탕으로 맡은 바 임무를 잘 수행,,
1517,장점,대인관계가 원만하며 적극적이고 활동력이 강함,,
1518,장점,본인의 업무를 충실히 시행함,,
1519,단점,타부서 협업시 소통능력 강화 필요,,
1520,단점,전문성 분야 후배 교육에 좀 더 노력 필요,,
1521,장점,"부서원(사람)에 대해서도 이해해주시고, 공감을 잘 해 주신다",,
1522,단점,ㅇ 집에서 업무를 하는 경우가 있음,,
1523,장점,높은 수준의 업무열의와 업무전문성을 보유,,
1524,장점,송전부 총무파트와 송전정비 파트를 위해 항상 애쓰시고 부족한 직원들을 챙겨주며 좋은 조언을 통해 일을 마무리 할수 환경을 만들어 주시는분,,
1525,단점,리더십이 뛰어나고 부서를 위해 몸소 노력하는 성향이 있음,,
1526,장점,근무 기간이 지났지만 아직 신입인지라,,
1527,장점,리더로서 직원들의 성장을 위한 다양한 시도를 지지하고 지원합니다,,
1528,장점,온화한 성품의 리더십으로 직원들에게 동기부여하며 이끌어 가는 탁월한 능력의 소유자,,
1529,장점,업무에 열의을 가지고 성실히 수행,,
1530,장점,맡은 업무 책임감있고 전문성있게 추진함,,
1531,단점,상대방의 배려가 조금 필요함,,
1532,단점,불필요한 스킨쉽을 함,,
1533,장점,꼼꼼하고 업무해결능력이 탁월함,,
1534,단점,타인과 소통능력과 대화능력,,
1535,단점,후배 양성에 적극적인 자세 필요,,
1536,장점,소통이면 소통,,
1537,단점,전문지식습득을 위한 다양한 경험과 교육기회 등 자기계발할 필요가 있음,,
1538,단점,보완점은 없는거 같습니다,,
1539,장점,업무에대한 의욕이 높으며 업무를 매끄럽게 처리합니다,,
1540,장점,적극적으로 직장 생활을 하고 있음,,
1541,장점,인간성이 좋고 업무책임감이 강함,,
1542,단점,완벽주의적 성격으로 새롭고 난이도 높은 업무에 시간을 다소 소요함,,
1543,단점,근태에 많은 신경을 쓰심,,
1544,장점,고압요금조정 업무 전문성이 뛰어나십니다,,
1545,장점,"전문성과 업무열의를 갖춰 업무진행, 팀원들과의 소통도 중요시 함",,
1546,단점,민원인을 조금 더 적극적으로 설득할 필요가 있음,,
1547,단점,업무처리 습득이 좀더 필요함,,
1548,장점,높은 업무 지식과 업무에 임하는 적극성이 뛰어 나십니다,,
1549,장점,항상 적극적인 업무처리로 직원들에게 도움을 줍니다,,
1550,단점,훌륭히 운영실의 장으로서 기여하고 있어 보완이 필요없음,,
1551,장점,업무를 주도하여 이끌어가는 리더십 보유함,,
1552,단점,보완 필요한 구체적 사례 발견하지 못함,,
1553,장점,책임감이 뛰어나 배울 점이 많습니다,,
1554,장점,관계자들과 원활한 네트워크 형성,,
1555,장점,장점이라고 생각되는 부분은 딱히 없음,,
1556,장점,"매사에 밝은 에너지, 완벽한 일처리",,
1557,장점,모든 직원과 관계가 좋으며 오랜 노하우로 탁월한 업무처리,,
1558,장점,직원과의 소통을 최우선으로 생각하고,,
1559,단점,해당 분야에 대해 경험이 얕아 보완이 필요,,
1560,단점,"직원들의 입장,생각보다 평가를 더 우선순위로 판단",,
1561,단점,너무 자기과만 챙기려고 한다,,
1562,장점,장점을 못찾겠음,,
1563,단점,업무지식이 부족하여 새로운 업무가 추가 되는걸 매우 싫어하고,,
1564,장점,"모든일에 적극적으로 임하고, 긍정적인 자세로 조직성과에 기여도가 큼",,
1565,장점,솔선 수범으로 업무 수행 능력이 탁월하여 항상 적극적이다,,
1566,장점,책임감을 가지고 업무를 하려고 함,,
1567,장점,풍부한 경험과 전문지식으로 팀과 부서를 부족함 없이 이끌어 주십니다,,
1568,장점,업무에 적극적이고 모범이 됨,,
1569,장점,자기일을 무묵히 수행해 냅니다,,
1570,장점,높은 책임감으로 업무에 몰입하여 목표를 달성함,,
1571,단점,명확한 의사 전달 및 보고능력이 우수합니다,,
1572,장점,적극적이고 조용하게 본인의 업무를 추진함,,
1573,장점,신속한 업무처리 능력으로 설비 유지보수에 열정적임,,
1574,장점,업무추진력 및 리더십이 뛰어나며 통찰력이 탁월함,,
1575,장점,"친화력 우수, 부드러운 리더십",,
1576,단점,보완이 필요한 점은 딱히 보이지 않음,,
1577,장점,직원들간 사이가 좋음,,
1578,장점,"문제해결에 적극적이며, 끈기와 집념으로 목표한바를 이루고자 노력함",,
1579,단점,기술분야에 대한 이해도가 더 높을 필요가 있음,,
1580,장점,전문적인 지식과 더불어 직원들과의 원활한 소통,,
1581,단점,소통이 필요하다,,
1582,장점,자신의 업무에 프로다운 자세로 임한다,,
1583,단점,ㅂ오ㅘㄴ필요점 없습니다,,
1584,장점,"동료들 모두에게 친절하고 상, 하 직원간 소통이 원활함",,
1585,장점,업무 협업능력이 뛰어나며 간부들과의 소통이 뛰어납니다,,
1586,장점,업무에 대한 전문성 및 이해력이 좋음,,
1587,단점,갈등조정 소통능력 추진력,,
1588,단점,"다른 부서에서 긴 기간 계셨다보니, 해당 부서의 지침 변동사항을 잘 알지 못하실 때가 있으심",,
1589,장점,맡은 바 업무에 적극적이며 솔선수범한다,,
1590,장점,문제해결능력이 뛰어나고 매사 솔선수범함,,
1591,단점,전문성과 업무열의로 지사 성과 향상에 기여,,
1592,단점,업무 열의가 넘쳐 간혹 완급조절이 필요함,,
1593,장점,성실하고 책임감 있는 모습입니다,,
1594,장점,업무에 대한 투철한 사명감과 열정이 뛰어남,,
1595,단점,보완할 점이 딱히 필요하지 않음,,
1596,장점,업무 전문성이 많고 열심히 한다,,
1597,장점,성실하고 묵묵히 일을하는 자세가 보기좋음,,
1598,단점,직원들과의 유대관계 강화,,
1599,장점,장점 솔직히 잘모르겠습니다,,
1600,단점,부서원에 대한 코칭을 더 해주었으면 함,,
1601,단점,자기 자신을 너무 희생한다,,
1602,장점,맡은 업무의 전문성과 열의가 뛰어남,,
1603,단점,회사 예산절감을 위한 노력에 앞장서지만 업무상 필요한 분야에 예산 투자 필요,,
1604,장점,업무시스템을 개선하기 위한 노력,,
1605,장점,도전적 목표 설정을 통한 높은 업무성취,,
1606,단점,나 보다는 조직을 우선하는 희생정신 강화가 필요함,,
1607,장점,매사 열심히하고 팀 분위기를 잘 이끔,,
1608,단점,소통하지않고 협업하지않음,,
1609,단점,특별한점 없습니다,,
1610,장점,"신속한 사업추진, 업무에 몰입함",,
